Item Code,Item Name,Loss Rate (%)
102900005115168,Niushou Shengcai,4.39 
102900005115199,Sichuan Red Cedar,10.46 
102900005115250,Xixia Black Mushroom (1),10.80 
102900005115625,Local Xiaomao Cabbage,0.18 
102900005115748,White Caitai,8.78 
102900005115762,Amaranth,18.52 
102900005115779,Yunnan Shengcai,15.25 
102900005115786,Zhuyecai,13.62 
102900005115793,Chinese Cabbage,7.59 
102900005115816,Nanguajian,13.46 
102900005115823,Shanghaiqing,14.43 
102900005115854,Radish Leaves,5.35 
102900005115861,Niushou Youcai,12.17 
102900005115878,Garden Chrysanthemum,6.27 
102900005115885,Caidian Quinoa Artemisia,0.47 
102900005115908,Caixin,13.70 
102900005115946,Muercai,7.61 
102900005115960,Chinese Cabbage,22.27 
102900005115977,Wandoujian,8.36 
102900005115984,Yunnan Lettuces,12.81 
102900005116042,Lotus Root,15.32 
102900005116219,Red Hot Peppers,6.73 
102900005116226,Green Hot Peppers,6.72 
102900005116233,Red Pepper (1),11.76 
102900005116257,Eggplant (2),6.07 
102900005116509,Green Eggplant (1),5.01 
102900005116530,Xixia Mushroom (1),13.82 
102900005116547,Needle Mushroom (1),3.43 
102900005116639,Machixian,11.78 
102900005116714,Broccoli,9.26 
102900005116776,Local Spinach,10.46 
102900005116790,Yellow Xincai (1),10.64 
102900005116806,Black Rapeseed,0.10 
102900005116837,Ping Mushroom,11.60 
102900005116899,Net Lotus Root (1),5.54 
102900005116905,Green Hangjiao (1),0.00 
102900005116912,Jigu Mushroom (1),8.99 
102900005116943,Red Hang Pepper,9.99 
102900005117056,Paopaojiao (Jingpin),7.08 
102900005117209,7 Colour Pepper (1),15.98 
102900005117353,The White Mushroom (1),9.43 
102900005118572,Local Shanghaiqing,11.99 
102900005118817,Spinach,18.51 
102900005118824,High Melon (1),29.25 
102900005118831,Wawacai,2.48 
102900005119098,The Agaricus Bisporus,12.78 
102900005119104,The Crab Flavor Mushroom (1),9.24 
102900005119944,Haixian Mushroom (1),9.89 
102900005119968,Green Hangzhou Pepper (2),9.00 
102900005119975,Hongshujian,8.42 
102900005122654,Zhijiang Red Bolt,11.38 
102900005123880,Bell Pepper (1),16.33 
102900005125808,Millet Pepper,5.86 
102900005125815,Apricot Bao Mushroom (1),5.05 
102900005128748,Huanghuacai,16.89 
102900011000175,Kuaicai,20.38 
102900011000328,Luosi Pepper,10.18 
102900011000335,Round Eggplant,0.32 
102900011000571,Suizhou Bubble Green,12.20 
102900011000632,Purple Cabbage (1),25.53 
102900011000861,Red Line Pepper,7.71 
102900011001219,The Red Bell Pepper (1),8.93 
102900011001561,Lotus (Ea),12.17 
102900011001691,Water Chestnut (Lingjiao),9.61 
102900011001806,Jigu Mushroom (Bunch),12.42 
102900011001813,Needle Mushroom (Bag) (1),8.85 
102900011002414,Panax Notoginseng,16.95 
102900011006689,Dongmenkou Xiaobaicai,27.84 
102900011006948,Foreign Garland Chrysanthemum ,26.16 
102900011006955,Ice Grass,15.01 
102900011007044,Tremella (Flower),9.14 
102900011007464,Perilla,12.88 
102900011007471,Mint,13.28 
102900011007495,The Dandelion,15.92 
102900011007969,Red Lotus Root Zone,16.63 
102900011008133,Siguajian,15.98 
102900011008164,Naibaicai,15.68 
102900011008485,Mustard,13.75 
102900011008492,Big Broccoli,4.69 
102900011008515,Miantiaocai,12.80 
102900011008522,Sweet Chinese Cabbage,9.43 
102900011008577,Hericium ,16.19 
102900011008676,Jicai,11.56 
102900011009246,Fresh Black Fungus (1),7.63 
102900011009277,Water Chestnut,11.02 
102900011009444,Dalong Eggplant,10.94 
102900011009772,Fruit Pepper (Orange),9.43 
102900011009970,Qinggengsanhua,17.06 
102900011010563,Chicken Fir Bacteria,11.93 
102900011010891,Wild Lotus Root (1),7.97 
102900011011058,Black Porcini,10.17 
102900011011546,Haixian Mushroom (Bag) (1),5.96 
102900011011669,Xiuzhen Mushroom,11.93 
102900011011782,Chinese Caterpillar Fungus Flowers (Box) (1),11.93 
102900011012482,Tea Tree Mushroom (Bag),9.97 
102900011012871,Black Chicken  Mushroom,11.03 
102900011012994,Apricot Bao Mushroom (Bag),10.03 
102900011013274,The White Mushroom (Bag),6.57 
102900011015384,Malan Head,15.16 
102900011015391,Ganlanye,11.58 
102900011016701,Wuhu Green Pepper (1),5.70 
102900011016909,Hua Eggplant,6.98 
102900011018095,Chinese Caterpillar Fungus Flowers (Bag),11.13 
102900011018132,Wild Pink Lotus Root,12.69 
102900011021644,Hongshan Caitai,9.34 
102900011021675,Chopped Red Pine,8.75 
102900011021699,The Steak Mushrooms,8.11 
102900011021842,Honghu Lotus Root Powder (Fenou),11.81 
102900011022030,Pepper Mix,9.43 
102900011022764,Changxianqie,6.90 
102900011022849,The Local Yellow Youcai,6.73 
102900011022924,Green Caitai,10.94 
102900011023075,White Jelly Mushroom,11.13 
102900011023464,Xiaoqingcai (1),10.33 
102900011023648,Wuhu Green Pepper (2),8.78 
102900011023976,Net Lotus Root (2),11.62 
102900011024010,Fresh Lotus Root Zone (Bag),12.69 
102900011026502,Fresh Rice Dumplings Leaves,10.94 
102900011026618,Aihao,9.27 
102900011026793,Apricot Bao Mushroom (250 G),9.43 
102900011027462,Naibai Caimiao,10.94 
102900011027479,Xiaozhoupi,8.71 
102900011027615,Juhua Youcai,3.43 
102900011028407,Yuganjiao,9.43 
102900011029176,Lameizi,0.00 
102900011029275,Purple Hot Peppers,9.43 
102900011029299,Purple Screw Pepper,0.00 
102900011029305,Fruit Chili,0.18 
102900011029688,Shuanggou Cabbage,10.75 
102900011030042,Zhijiang Red Bolt (Bag),9.43 
102900011030059,Yunnan Lettuce (Bag),9.43 
102900011030097,Yunnan Leaf Lettuce (Bag),9.43 
102900011030103,Garden Chrysanthemum (Bag),9.43 
102900011030110,Spinach (Bag),9.43 
102900011030134,Caixin (Bag),9.43 
102900011030141,Shanghai Green (Bag),9.43 
102900011030158,Xiaoqingcai (2),9.43 
102900011030400,Hongshan Shoutidai,0.00 
102900011030417,Hongshan Gift Box,0.00 
102900011030561,Chopped Red Pine (Box),0.00 
102900011030608,The Steak Mushrooms (Box),19.80 
102900011030615,The Pork Stomach Mushroom (Box),0.00 
102900011030622,Black Porcini (Box),0.00 
102900011030639,Black Chicken Fir Bacteria (Box),0.00 
102900011030905,Yuxingcao (Bag),9.43 
102900011030912,Haixian Mushroom (Bag),9.43 
102900011030929,Fresh Edible Fungus (Bag),9.43 
102900011031100,Millet Pepper (Bag),9.43 
102900011031216,Ice Grass (Box),10.34 
102900011031582,Green Hot Peppers (Bag),9.43 
102900011031599,Apricot Bao Mushroom (Bag),9.43 
102900011031735,7 Colour Pepper (Bag),9.43 
102900011031742,Bell Pepper (Bag),9.43 
102900011031759,Red Bell Pepper (Bag),9.43 
102900011031841,Agaricus Bisporus (Bag),9.43 
102900011031858,Needle Mushroom (Bag),9.43 
102900011031926,Chinese Caterpillar Fungus Flowers (Bag),9.43 
102900011031995,Jigu (Bag),9.43 
102900011032022,Xiaozhoupi (Bag),9.43 
102900011032114,Water Chestnut (Bag),9.43 
102900011032145,Wuhu Green Pepper (Bag),9.43 
102900011032176,Basil (Bag),9.43 
102900011032206,Green Hang Pepper (Bag),9.43 
102900011032213,Red Hang Pepper (Bag),9.43 
102900011032220,Fruit Pepper (Bag),9.43 
102900011032237,Green Line Pepper (Bag),9.43 
102900011032244,Red Hot Peppers (Bag),9.43 
102900011032251,Luosi Pepper (Bag),9.43 
102900011032282,Xiangtianhongcaitai (Bag),0.00 
102900011032343,7 Colour Pepper (2),9.43 
102900011032350,Bell Pepper (2),9.43 
102900011032367,Red Bell Pepper (2),9.43 
102900011032480,Artemisia Stelleriana,0.00 
102900011032589,Yuxingcao ,9.43 
102900011032619,Xixia Xianggu Mushroom (2),9.43 
102900011032626,Fresh Edible Fungus (2),9.43 
102900011032633,Fresh Sea (2),9.43 
102900011032640,Jigu (2),9.43 
102900011032732,High Melon (2),9.43 
102900011032787,Zhuyecai (Bag),9.43 
102900011032848,Ginger And Xiaomijiao Mix (Small Bag),9.43 
102900011033081,Chuncai,29.03 
102900011033173,Sophora Japonica,16.80 
102900011033234,Hongshujian (Bag),9.43 
102900011033241,Caidian Quinoa Artemisia (Bag),9.43 
102900011033531,Red Coral (Leaf),9.43 
102900011033562,Red Oak Leaf,9.43 
102900011033586,Green Butter,9.43 
102900011033906,Powcan Mountain Chinese Cabbage ,9.43 
102900011033913,Purple Cabbage (2),9.43 
102900011033920,Huangxincai (2),9.43 
102900011033937,Needle Mushroom (2),9.43 
102900011033944,Apricot Bao Mushroom (2),9.43 
102900011033968,Xixia Black Mushroom (2),9.43 
102900011033975,Green Eggplant (2),9.43 
102900011033982,Eggplant (1),9.43 
102900011033999,Round Eggplant (1),9.43 
102900011034026,Zhijiang Qinggengsanhua,9.43 
102900011034200,Amaranth (Bag),9.43 
102900011034217,Chinese Cabbage (Bag),9.43 
102900011034224,Xiaoqingcai (Bag),9.43 
102900011034231,Cabbage Stem (Bag),9.43 
102900011034262,Red Pepper (Bag),9.43 
102900011034316,Zhimaxiancai,0.00 
102900011034323,Xianzongye,0.00 
102900011034330,Agaricus Bisporus (Box),0.20 
102900011034354,Xianzongye (Bag) (1),0.00 
102900011034439,Green And Red Hang Pepper Mix (Bag),9.43 
102900011034538,Black Mushroom (Bag),9.43 
102900011034569,Honghu Lotus (Lotus Root),9.43 
102900011034705,The Fungus Mushroom Hot Pot Package (Bag),9.43 
102900011035078,Red Pepper (2),9.43 
102900011035481,Foreign Garland Chrysanthemum  (Bag),9.43 
102900011035511,Net Lotus Root (3),9.43 
102900011035740,Crab Flavor Mushroom And White Mushroom Mix (Box),0.84 
102900011035764,Longyacai,9.43 
102900011035771,Yellow Baicai (1),9.43 
102900011035788,Xixia Xianggu Mushroom (Bag),9.43 
102900011035849,Chinese Cabbage Seedling,0.00 
102900011035962,Wild Lotus Root (2),9.43 
102900011036068,Mushroom And Leaf Mix (Bag),9.43 
102900011036242,Green And Red Jian Pepper Mix (Bag),9.43 
102900011036266,Velvet Antler Mushroom (Box),0.00 
102900011036686,Muercai (Bag),9.43 
102900051000463,Round Eggplant (2),6.71 
102900051000890,Broccoli,9.43 
102900051000944,Honghu Lotus Root,24.05 
102900051004294,Green Line Pepper,7.80 
102900051006229,Lotus Root Tip,0.00 
102900051009220,Youcaitai,10.94 
102900051009336,Chinese Caterpillar Fungus Flowers,11.68 
102900051010455,Huangbaicai (2),15.61 
102900051010790,Purple Beicai,19.58 
106930274220092,The Crab Flavor Mushroom (Bag),11.13 
106930274620090,Haixian Mushroom (Bag) (2),0.00 
106931885000035,Embroidered Aureus,11.13 
106931885000356,Embroidered Aureus (Bag),8.34 
106949711300068,Needle Mushroom (Bag) (3),11.13 
106949711300167,Needle Mushroom (Bag) (2),6.64 
106949711300259,Needle Mushroom (Box),0.45 
106956146480197,The White Mushroom (2),7.30 
106956146480203,The Crab Flavor Mushroom (2),16.04 
106957634300010,The White Mushroom (Box),0.00 
106957634300058,The Crab Flavor Mushroom (Box),0.00 
106958851400125,Haixian Mushroom (Bag) (4),11.13 
106971533450003,Haixian Mushroom (Bunch),0.00 
106971533455008,Haixian Mushroom (Bag) (3),1.30 
106971563780002,Xianzongye (Bag) (2),0.00 
106972776821582,Xianzongye (Bag) (3),9.43 
106973223300667,Chinese Caterpillar Fungus Flowers (Box) (2),11.13 
106973990980123,Hfyg Haixian Mushroom (Bunch),0.12 
